Store_ID,ID
151884,276322881
151884,276322980
151884,276323998
151884,276324022
151884,276324792
69666,235327991
151884,276333413
151884,276333420
151884,276333453
151884,276333465
151884,276333664
151884,276333665
151884,276333666
151884,276333682
151884,276333789
151884,276335130
151884,276335202
151884,276335274
151884,276336083
151884,276336655
151884,276338539
151884,276338569
151884,276339536
151884,276339750
151884,276339826
151884,276339847
151884,276341562
151884,276342125
151884,276342127
151884,276342130
151884,276342135
151884,276343791
151884,276343891
151884,276343979
151884,276344004
151884,276344022
151884,276344172
151884,276344188
151884,276345755
151884,276345759
151884,276348225
151884,276349933
151884,276352002
151884,276352012
151884,276352021
151884,276352304
151884,276352397
151884,276352456
151884,276353399
151884,276354163
151884,276354164
151884,276354166
156607,276357709
151884,276361591
151884,276361595
151884,276362122
151884,276362135
151884,276362138
151884,276362358
151884,276363228
151884,276363229
151884,276365256
151884,276365275
151884,276365378
151884,276365416
151884,276365423
156607,276368186
151884,276368245
151884,276368319
151884,276371647
151884,276371691
151884,276371888
151884,276372403
151884,276372409
151884,276372445
151884,276373564
69666,235414250
69666,235414625
69666,235416071
69666,235420897
69666,235421208
151884,276378781
151884,276378787
151884,276378808
151884,276378945
151884,276379026
151884,276379055
151884,276380395
151884,276380401
151884,276382950
151884,276383020
151884,276383588
151884,276383676
151884,276383697
151884,276383747
151884,276384721
151884,276384790
151884,276384793
151884,276384814
151884,276384918
69666,235432203
151884,276385097
151884,276390055
151884,276391223
151884,276392765
151884,276392780
151884,276394262
151884,276394307
151884,276399498
151884,276399500
151884,276399685
151884,276399692
151884,276399770
149313,276401249
151884,276402095
151884,276402151
69666,276404315
151884,276411804
151884,276411819
151884,276428877
151884,276429214
149313,276438908
151884,276440174
151884,276442221
151884,276442643
151884,276442704
151884,276444585
151884,276444872
151884,276446607
151884,276446914
151884,276447131
151884,276447531
151884,276447533
151884,276447745
151884,276448955
151884,276451619
151884,276451712
151884,276451740
151884,276452182
151884,276452421
151884,276452935
151884,276455456
69666,276463054
151884,276478761
151884,276509582
151884,276509639
151884,276509663
151884,276510379
151884,276518984
149313,276525953
149313,276528129
149313,276528483
149313,276539918
149313,276543179
149313,276543480
149313,276544288
149313,276546767
149313,276551754
149313,276553277
149313,276565779
149313,276571355
138289,276631301
138289,276631306
138289,276632332
138289,276632374
138289,276638269
138289,276638318
138289,276638414
138289,276650096
149313,276713188
149313,276713854
149313,276719167
151884,276731275
151884,276731773
151884,276733213
151884,276733422
151884,276733435
151884,276733954
151884,276734085
151884,276734144
151884,276734208
151884,276734546
151884,276734767
151884,276734772
151884,276737853
151884,276738043
151884,276738333
151884,276738567
151884,276738741
151884,276740733
151884,276741877
151884,276742943
151884,276743668
149313,276749163
149313,276749820
151884,276751938
30206,203216664
30206,203216695
30206,203216699
30206,203216716
30206,203216723
30206,203216753
30206,203216764
67833,203299316
67833,203299344
151884,277122082
151884,277147570
67833,203434226
67833,203440608
67833,203453672
151884,277468820
